Category,Category in detail,Pureesha pareeksha,Search Term for Feature of pureesha,Reference
Disease,Kapha aavruta apaana feature as mixed with mucus feces (Disease feature),Pureesha,Mucus mixed with feces,Ch. Chi. 28. 230
Disease,Complication of aavarana as Atisaara (Disease feature),Atisaara,Loose feces,Ch. Chi. 28. 236
Cause,Vega nigraha as cause for Vaata shonita (Cause),Vega,Vega nigraha as cause for Vaata shonita (Cause),Ch. Chi. 29. 10-11
Advise,Indication of virechana in vaata shonita (Advise),Virechana,Indication of virechana in vaata shonita (Advise),Ch. Chi. 29. 42-43
Advise,Recipe for virechana (Advise),Virechana,Recipe for virechana (Advise),Ch. Chi. 29. 86
Advise,Indication of virechana in medo aavruta vaata (Advise),Virechana,Indication of virechana in medo aavruta vaata (Advise),Ch. Chi. 29. 157
Advise,Indication of virechana in kapha aavruta vaata (Advise),Virechana,Indication of virechana in kapha aavruta vaata (Advise),Ch. Chi. 29. 157
Advise,Vega dhaarana as cause for shushka yoni vyaapad (Advise),Vega,Vega dhaarana as cause for shushka yoni vyaapad (Advise),Ch. Chi. 30. 32
Advise,Indication for mridu virechana (Advise),Virechana,Indication for mridu virechana (Advise),Ch. Chi. 30. 45
Cause,Vega sandhaarana as cause for Shukra dushti (Cause),Vega,Vega sandhaarana as cause for Shukra dushti (Cause),Ch. Chi. 30. 135-138
Disease,Beeja upaghaataka klaibya feature as Atisaara (Disease feature),Atisaara,Loose feces,Ch. Chi. 30. 158-162
Advise,Indication of virechana in klaibya (Advise),Virechana,Indication of virechana in klaibya (Advise),Ch. Chi. 30. 199-201
Cause,Vega dhaarana as cause for stanya dushti (Cause),Vega,Vega dhaarana as cause for stanya dushti (Cause),Ch. Chi. 30. 232-236
Advise,Indication of virechana in stanya dushti (Advise),Virechana,Indication of virechana in stanya dushti (Advise),Ch. Chi. 30. 253
Advise,Recipe for virechana (Advise),Virechana,Recipe for virechana (Advise),Ch. Chi. 30. 254-255
Advise,Indication of virechana (Advise),Virechana,Indication of virechana (Advise),Ch. Chi. 30. 256
Advise,Indication of virechana (Advise),Virechana,Indication of virechana (Advise),Ch. Chi. 30. 302
Advise,Proper defecation as sign of good digestion (Advise),Pureesha,Proper defecation as sign of good digestion (Advise),Ch. Chi. 30. 303
Disease,Pittaja arshas (Disease feature),Pureesha,Warm or hot stool,Source one
Disease,Vaataja atisaara (Disease feature),Pureesha,Abnormally formed feces,Source one
Disease,Vaataja grahani (Disease feature),Pureesha,Abnormally formed feces,Source one
Disease,Sangraahani (Disease feature),Pureesha,Abnormally formed feces,Source one
Disease,Atisaara asaadya lakshana (Disease feature),Pureesha,Red feces,Source one
Disease,Sangraahani (Disease feature),Pureesha,Red feces,Source one
Disease,Vaataja atisaara (Disease feature),Pureesha,Red feces,Source one
Disease,Ajeerna lakshana (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Vishtabdha ajeerna (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Alasaka (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Pravruddha aamavaata (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Pureeshaja aanaaha (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Arsha poorvaroopa (Disease premonitory feature),Pureesha,Obstruction of feces,Source one
Disease,Vaataja arshas (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Vaataja ashteela (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Atisaara poorva roopa (Disease premonitory feature),Pureesha,Obstruction of feces,Source one
Disease,Vaata dushta stanya paana baala roga (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Gudagata vaata (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Gulma roga (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Antarvega jwara (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Sannipaataja jwara (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Vaataja jwara (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Kapha aavruta samaana (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Koshta aashrita vaata (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Koshta vruna (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Pureeshaja krimi (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Paandu asaadya lakshana (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Paramada (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Vaataja parinaama shoola (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Vaataja prameha upadrava (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Pratyaashteela (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Sanniruddha guda (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Kaphaja shoola (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Vaataja shoola (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Mahaa shwaasa (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Baddha guda udara (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Udara roga lakshana (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Pureeshaja udaavarta (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Vaataja udaavarta (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Koshtagata vaata (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Pakvaashaya gata vaata (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Vaatavyaadhi upadrava (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Vishtabdha ajeerna (Disease feature),Pureesha,Obstruction of feces,Source one
Disease,Atisaara (Disease feature),Pureesha,Increased quantity of feces,Source one
Disease,Atisaara asaadya lakshana (Disease feature),Pureesha,Increased quantity of feces,Source one
Disease,Sangraahani (Disease feature),Pureesha,Increased quantity of feces,Source one
Disease,Pittaja arshas (Disease feature),Pureesha,Loose feces,Source one
Disease,Vaataja grahani (Disease feature),Pureesha,Loose feces,Source one
Disease,Pittaja grahani (Disease feature),Pureesha,Loose feces,Source one
Disease,sangraahani (Disease feature),Pureesha,Loose feces,Source one
Disease,sangraahani (Disease feature),Pureesha,Knotty stools,Source one
Disease,Vaataja arshas (Disease feature),Pureesha,Knotty stools,Source one
Disease,Haleemaka (Disease feature),Pureesha,Green feces,Source one
Disease,Kaamala asaadya lakshana (Disease feature),Pureesha,Black feces,Source one
Disease,Vaataja arshas (Disease feature),Pureesha,Black feces,Source one
Disease,Vaataja svara bheda (Disease feature),Pureesha,Red feces,Source one
Disease,Pittaja atisaara (Disease feature),Pureesha,Blue feces,Source one
Disease,Atisaara asaadya lakshana (Disease feature),Pureesha,Blue feces,Source one
Disease,Pittaja atisaara (Disease feature),Pureesha,Blue feces,Source one
Disease,Pittaja arshas (Disease feature),Pureesha,Blue feces,Source one
Disease,Pittaja grahani dosha (Disease feature),Pureesha,Blue feces,Source one
Disease,Vaataja arshas (Disease feature),Pureesha,Frothy feces,Source one
Disease,Vaataja atisaara (Disease feature),Pureesha,Frothy feces,Source one
Disease,Vaataja grahani dosha (Disease feature),Pureesha,Frothy feces,Source one
Disease,Kaphaja arshas (Disease feature),Pureesha,Slimy feces,Source one
Disease,sangraahani (Disease feature),Pureesha,Slimy feces,Source one
Disease,Pittaja arshas (Disease feature),Pureesha,Yellow feces,Source one
Disease,Pittaja atisaara (Disease feature),Pureesha,Yellow feces,Source one
Disease,Pittaja grahani dosha (Disease feature),Pureesha,Yellow feces,Source one
Disease,Haleemaka (Disease feature),Pureesha,Yellow feces,Source one
Disease,Pittaja jwara (Disease feature),Pureesha,Yellow feces,Source one
Disease,Kaamala asaadya lakshana (Disease feature),Pureesha,Yellow feces,Source one
Disease,Kaamala lakshana (Disease feature),Pureesha,Yellow feces,Source one
Disease,Pittaja moorcha (Disease feature),Pureesha,Yellow feces,Source one
Disease,Pittaja paandu (Disease feature),Pureesha,Yellow feces,Source one
Disease,Paandu lakshana (Disease feature),Pureesha,Yellow feces,Source one
Disease,Pittaja swarabheda (Disease feature),Pureesha,Yellow feces,Source one
Disease,Kaamala (Disease feature),Pureesha,Red feces,Source one
Disease,Kaamala (Disease feature),Pureesha,Yellow feces,Source one
Disease,Mrud bhakshana janya paandu (Disease feature),Pureesha,Phlegm mixed feces,Source one
Disease,Paandu asaadya lakshana (Disease feature),Pureesha,Phlegm mixed feces,Source one
Disease,Kaphaja atisaara (Disease feature),Pureesha,Dense feces,Source one
Disease,Vaataja atisaara (Disease feature),Pureesha,Defecation with sound,Source one
Disease,Vaataja grahani dosha (Disease feature),Pureesha,Defecation with sound,Source one
Disease,sangraahani (Disease feature),Pureesha,Defecation with sound,Source one
Disease,Pittaja arshas (Disease feature),Pureesha,Blood mixed feces,Source one
Disease,Kaamala asaadya lakshana (Disease feature),Pureesha,Blood mixed feces,Source one
Disease,Mrud bhakshana janya paandu,Pureesha,Blood mixed feces,Source one
Disease,Kaphaja atisaara (Disease feature),Pureesha,Cold feces,Source one
Disease,sangraahani (Disease feature),Pureesha,Cold feces,Source one
Disease,Kaphaja arshas (Disease feature),Pureesha,Phlegm mixed feces,Source one
Disease,Kaphaja atisaara (Disease feature),Pureesha,Phlegm mixed feces,Source one
Disease,Atisaara asaadya lakshana (Disease feature),Pureesha,Unctous feces,Source one
Disease,Kaphaja atisaara (Disease feature),Pureesha,Unctous feces,Source one
Disease,Sannipaataja grahani dosha,Pureesha,Unctous feces,Source one
Disease,sangraahani (Disease feature),Pureesha,Unctous feces,Source one
Disease,Kaphaja arshas (Disease feature),Pureesha,Unctous feces,Source one
Disease,Vaataja arshas (Disease feature),Pureesha,Reduced quantity of feces,Source one
Disease,Kaphaja atisaara (Disease feature),Pureesha,Pale or white feces,Source one
Disease,Udaavarta (Disease feature),Pureesha,Dry or hard feces,Source one
Disease,Vaataja grahani dosha (Disease feature),Pureesha,Dry or hard feces,Source one
Disease,Haleemaka (Disease feature),Pureesha,Black feces,Source one
Disease,Vaataja arshas (Disease feature),Pureesha,Black feces,Source two
Disease,Vaataja gulma (Disease feature),Pureesha,Black feces,Source two
Disease,Kumbha kaamala (Disease feature),Pureesha,Black feces,Source two
Disease,Pittaja atisaara (Disease feature),Pureesha,Black feces,Source two
Disease,Vaata prakopa (Disease feature),Pureesha,Black feces,Source two
Disease,Vaataja udara (Disease feature),Pureesha,Black feces,Source two
Disease,Vaataja arshas (Disease feature),Pureesha,Black feces,Source two
Disease,Vaataja atisaara (Disease feature),Pureesha,Black feces,Source two
Disease,Vaata prakopa (Disease feature),Pureesha,Black feces,Source two
Disease,Vaataja gulma (Disease feature),Pureesha,Black feces,Source two
Disease,Vaataja jwara (Disease feature),Pureesha,Black feces,Source two
Disease,Vaataja paandu (Disease feature),Pureesha,Black feces,Source two
Disease,Vaataja udara (Disease feature),Pureesha,Red feces,Source two
Disease,Vaataja arshas (Disease feature),Pureesha,Red feces,Source two
Disease,Vaataja atisaara (Disease feature),Pureesha,Red feces,Source two
Disease,Vaata prakopa (Disease feature),Pureesha,Red feces,Source two
Disease,Vaataja gulma (Disease feature),Pureesha,Red feces,Source two
Disease,Vaataja jwara (Disease feature),Pureesha,Red feces,Source two
Disease,Vaataja paandu (Disease feature),Pureesha,Red feces,Source two
Disease,Kaphaja jwara (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Kaphaja udara (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Kaphaja arshas (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Kaphaja paandu (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Shaakaashrita kaamala (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Kaphaja atisaara (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Sahaja arshas (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Jala udara (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Kaphaja gulma (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Kaphaja visarpa (Disease feature),Pureesha,Pale or white feces,Source two
Disease,Kaamala (Disease feature),Pureesha,Red feces,Source two
Disease,Pittaja atisaara (Disease feature),Pureesha,Red feces,Source two
Disease,Raktapitta (Disease feature),Pureesha,Red feces,Source two
Disease,Sahaja arshas (Disease feature),Pureesha,Red feces,Source two
Disease,Chidrodara (Disease feature),Pureesha,Red feces,Source two
Disease,Vaataja arshas (Disease feature),Pureesha,Frothy feces,Source two
Disease,Vaataja atisaara (Disease feature),Pureesha,Frothy feces,Source two
Disease,Vaataja grahani (Disease feature),Pureesha,Frothy feces,Source two
Disease,Kaphaja atisaara (Disease feature),Pureesha,Dense feces,Source two
Disease,Sahaja arshas (Disease feature),Pureesha,Dense feces,Source two
Disease,Asaadhya paandu roga (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Vaataja prameha (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Udara roga lakshana (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Baddha udara (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Pureesha aavruta vaata (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Ashudhha dugdha paana sevana,Pureesha,Obstruction of feces,Source two
Disease,Tridosha dushti (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Teekshna agni (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Vaataja atisaara (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Vaataja visarpa (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Vaataja jwara (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Sahaja arshas (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Vaataja arshas (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Mahaashwaasa (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Mala aavruta vaata (Disease feature),Pureesha,Obstruction of feces,Source two
Disease,Pittaja arshas (Disease feature),Pureesha,Loose feces,Source two
Disease,Vaataja grahani (Disease feature),Pureesha,Loose feces,Source two
Disease,Asaadhya atisaara (Disease feature),Pureesha,Loose feces,Source two
Disease,Mandaagni (Disease feature),Pureesha,Loose feces,Source two
Disease,Pittaja arshas (Disease feature),Pureesha,Loose feces,Source two
Disease,Kaphaja grahani (Disease feature),Pureesha,Loose feces,Source two
Disease,Kshayaja kaasa (Disease feature),Pureesha,Loose feces,Source two
Disease,Kapha aavruta apaana vaayu (Disease feature),Pureesha,Loose feces,Source two
Disease,Pittaja moorcha (Disease feature),Pureesha,Loose feces,Source two
Disease,Vega sandhaarana janya yakshma (Disease feature),Pureesha,Loose feces,Source two
Disease,Arshas (Disease feature),Pureesha,Loose feces,Source two
Disease,Vaataja grahani (Disease feature),Pureesha,Loose feces,Source two
Disease,Sahaja arshas (Disease feature),Pureesha,Loose feces,Source two
Disease,Kaphaja atisaara (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Pittaja paandu (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Asaadhya sannipaataja charddhi (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Aama pureesha (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Pureeshavaha sroto dushti (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Vid vighaata (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Pittaja arshas (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Kaphaja atisaara (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Pittaja atisaara (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Pittaja arshas (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Aama atisaara (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Chidrodara (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Sahaja arshas (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Sannipaataja atisaara (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Jalodara (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Aagantuja atisaara (Disease feature),Pureesha,Foul smelling feces,Source two
Disease,Ajeerna lakshana (Disease feature),Pureesha,Cold feces,Source two
Disease,Kaphaja atisaara (Disease feature),Pureesha,Cold feces,Source two
Disease,Pittaja arshas (Disease feature),Pureesha,Warm or hot stool,Source two
Disease,Kaphaja arshas (Disease feature),Pureesha,Unctous feces,Source two
Disease,Kaphaja atisaara (Disease feature),Pureesha,Unctous feces,Source two
Disease,Vaataja jwara (Disease feature),Pureesha,Rough feces,Source two
Disease,Vaataja atisaara (Disease feature),Pureesha,Rough feces,Source two
Disease,Sannipaataja jwara (Disease feature),Pureesha,Reduced quantity of feces,Source two
Disease,Paandu roga (Disease feature),Pureesha,Reduced quantity of feces,Source two
Disease,Vaataja atisaara (Disease feature),Pureesha,Reduced quantity of feces,Source two
Disease,Vaataja pakva atisaara (Disease feature),Pureesha,Reduced quantity of feces,Source two
Disease,Pureesha vaha srotodushti (Disease feature),Pureesha,Reduced quantity of feces,Source two
Disease,Deva unmatta purusha (Disease feature),Pureesha,Reduced quantity of feces,Source two
Disease,Pittaja atisaara (Disease feature),Pureesha,Increased quantity and frequency of feces,Source two
Disease,Aama atisaara (Disease feature),Pureesha,Increased quantity and frequency of feces,Source two
Disease,Sannipaataja atisaara (Disease feature),Pureesha,Increased quantity and frequency of feces,Source two
Disease,Asaadhya atisaara (Disease feature),Pureesha,Increased quantity and frequency of feces,Source two
Disease,Vaataja gulma (Disease feature),Pureesha,Reduced frequency of feces,Source two
Disease,Apaana vaayu aavruta (Disease feature),Pureesha,Reduced frequency of feces,Source two
Disease,Atisaara poorva roopa (Disease premonitory feature),Pureesha,Reduced frequency of feces,Source two
Disease,Shushka yoni (Disease feature),Pureesha,Reduced frequency of feces,Source two
Disease,Udara roga (Disease feature),Pureesha,Reduced frequency of feces,Source two
Disease,Asamyak virechana (Disease feature),Pureesha,Reduced frequency of feces,Source two
Disease,Vaata astheela (Disease feature),Pureesha,Reduced frequency of feces,Source two
Disease,Mootra jathara (Disease feature),Pureesha,Reduced frequency of feces,Source two
Disease,Udara roga (Disease feature),Pureesha,Reduced frequency of feces,Source two
Disease,Baddha udara (Disease feature),Pureesha,Reduced frequency of feces,Source two
Disease,Vaataja atisaara (Disease feature),Pureesha,Reduced quantity and frequency of feces,Source two
Disease,Kaphaja atisaara (Disease feature),Pureesha,Reduced quantity and frequency of feces,Source two
Disease,Pravaahika (Disease feature),Pureesha,Reduced quantity and frequency of feces,Source two
Disease,Vaataja grahani (Disease feature),Pureesha,Reduced quantity and frequency of feces,Source two
Disease,Chidrodhara (Disease feature),Pureesha,Reduced quantity and frequency of feces,Source two
Disease,Pureesha vaha srotodushti (Disease feature),Pureesha,Reduced quantity and frequency of feces,Source two
Disease,Vaataja grahani (Disease feature),Pureesha,Frequent loose feces,Source two
Disease,Vaataja atisaara (Disease feature),Pureesha,Frequent loose feces,Source two
Disease,Kshayaja yakshma (Disease feature),Pureesha,Frequent loose feces,Source two
Disease,Ayathaabala samaarambha janya yakshma (Disease feature),Pureesha,Frequent loose feces,Source two
Disease,Vega sandhaarana janya yakshma (Disease feature),Pureesha,Frequent loose feces,Source two
Disease,Vaataja ashmari (Disease feature),Pureesha,Difficulty in defecation,Source two
Disease,Vid vighaata (Disease feature),Pureesha,Difficulty in defecation,Source two
Disease,Aamashaya kruddha vaayu (Disease feature),Pureesha,Difficulty in defecation,Source two
Disease,Pakwaashaya krudha vaayu (Disease feature),Pureesha,Difficulty in defecation,Source two
Disease,Vaataja arshas (Disease feature),Pureesha,Difficulty in defecation,Source two
Disease,Aama atisaara (Disease feature),Pureesha,Difficulty in defecation,Source two
Disease,Pureeshavaha sroto dushti (Disease feature),Pureesha,Difficulty in defecation,Source two
Disease,Pureesha kshaya (Disease feature),Pureesha,Difficulty in defecation,Source two
Disease,Vaataja grahani (Disease feature),Pureesha,Difficulty in defecation,Source two
Disease,Aama atisaara (Disease feature),Pureesha,Loose feces with pain,Source two
Disease,Pittaja atisaara,Pureesha,Loose feces with pain and burning sensation,Source two
Disease,Vaataja atisaara (Disease feature),Pureesha,Gripping pain,Source two
Disease,Pravaahika,Pureesha,Loose feces with pain - tenesmus,Source two
Disease,Jalodara (Disease feature),Pureesha,Discharge from anus with pain,Source two
Disease,Vaataja grahani,Pureesha,Difficulty in defecation,Source two
Disease,Kaphaja arshas (Disease feature),Pureesha,Tenesmus with pain,Source two
Disease,Kaphaja atisaara,Pureesha,Tenesmus with pain,Source two
Disease,Pravaahika,Pureesha,Tenesmus with pain,Source two
Disease,Saama atisaara,Pureesha,Tenesmus with pain,Source two
Disease,Vishama agni,Pureesha,Tenesmus with pain,Source two
